"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-01","2012","01","01","","","M","","M","","M","","M","","M","","M","","M","2.0","","","","22","","50",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-02","2012","01","02","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","25","","59",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-03","2012","01","03","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","29","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-04","2012","01","04","","","M","","M","","M","","M","","M","","M","","M","0.4","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-05","2012","01","05","","","M","","M","","M","","M","","M","","M","","M","0.4","","","","27","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-06","2012","01","06","","","M","","M","","M","","M","","M","","M","","M","1.4","","","","4","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-07","2012","01","07","","","M","","M","","M","","M","","M","","M","","M","1.1","","","","33","","56",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-08","2012","01","08","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","27","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-09","2012","01","09","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","23","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-10","2012","01","10","","","M","","M","","M","","M","","M","","M","","M","0.4","","","","30","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-11","2012","01","11","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","5","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-12","2012","01","12","","","M","","M","","M","","M","","M","","M","","M","10.1","","","","4","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-13","2012","01","13","","","M","","M","","M","","M","","M","","M","","M","8.1","","","","28","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-14","2012","01","14","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","30","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-15","2012","01","15","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-16","2012","01","16","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","14","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-17","2012","01","17","","","M","","M","","M","","M","","M","","M","","M","10.3","","","","22","","85",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-18","2012","01","18","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","23","","91",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-19","2012","01","19","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","17","","54",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-20","2012","01","20","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","27","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-21","2012","01","21","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-22","2012","01","22","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-23","2012","01","23","","","M","","M","","M","","M","","M","","M","","M","7.2","","","","14","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-24","2012","01","24","","","M","","M","","M","","M","","M","","M","","M","0.7","","","","24","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-25","2012","01","25","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","28","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-26","2012","01","26","","","M","","M","","M","","M","","M","","M","","M","1.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-27","2012","01","27","","","M","","M","","M","","M","","M","","M","","M","18.1","","","","27","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-28","2012","01","28","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","25","","67",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-29","2012","01","29","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","25","","69",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-30","2012","01","30","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","27","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-01-31","2012","01","31","","","M","","M","","M","","M","","M","","M","","M","5.8","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-01","2012","02","01","","","M","","M","","M","","M","","M","","M","","M","1.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-02","2012","02","02","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-03","2012","02","03","","","M","","M","","M","","M","","M","","M","","M","0.3","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-04","2012","02","04","","","M","","M","","M","","M","","M","","M","","M","1.0","","","","32","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-05","2012","02","05","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","23","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-06","2012","02","06","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","26","","50",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-07","2012","02","07","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","33","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-08","2012","02","08","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","25","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-09","2012","02","09","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","26","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-10","2012","02","10","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","25","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-11","2012","02","11","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","1","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-12","2012","02","12","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","26","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-13","2012","02","13","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","27","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-14","2012","02","14","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-15","2012","02","15","","","M","","M","","M","","M","","M","","M","","M","0.6","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-16","2012","02","16","","","M","","M","","M","","M","","M","","M","","M","1.1","","","","12","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-17","2012","02","17","","","M","","M","","M","","M","","M","","M","","M","2.1","","","","26","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-18","2012","02","18","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","26","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-19","2012","02","19","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-20","2012","02","20","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-21","2012","02","21","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","12","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-22","2012","02","22","","","M","","M","","M","","M","","M","","M","","M","2.0","","","","21","","52",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-23","2012","02","23","","","M","","M","","M","","M","","M","","M","","M","0.5","","","","27","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-24","2012","02","24","","","M","","M","","M","","M","","M","","M","","M","9.4","","","","9","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-25","2012","02","25","","","M","","M","","M","","M","","M","","M","","M","2.8","","","","27","","52",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-26","2012","02","26","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","26","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-27","2012","02","27","","","M","","M","","M","","M","","M","","M","","M","0.7","","","","2","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-28","2012","02","28","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","30","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-02-29","2012","02","29","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","5","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-01","2012","03","01","","","M","","M","","M","","M","","M","","M","","M","8.6","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-02","2012","03","02","","","M","","M","","M","","M","","M","","M","","M","0.5","","","","13","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-03","2012","03","03","","","M","","M","","M","","M","","M","","M","","M","4.2","","","","24","","70",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-04","2012","03","04","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","30","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-05","2012","03","05","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","23","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-06","2012","03","06","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-07","2012","03","07","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-08","2012","03","08","","","M","","M","","M","","M","","M","","M","","M","7.1","","","","28","","69",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-09","2012","03","09","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","29","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-10","2012","03","10","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","2","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-11","2012","03","11","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-12","2012","03","12","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-13","2012","03","13","","","M","","M","","M","","M","","M","","M","","M","7.6","","","","34","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-14","2012","03","14","","","M","","M","","M","","M","","M","","M","","M","4.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-15","2012","03","15","","","M","","M","","M","","M","","M","","M","","M","0.9","","","","4","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-16","2012","03","16","","","M","","M","","M","","M","","M","","M","","M","7.5","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-17","2012","03","17","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-18","2012","03","18","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-19","2012","03","19","","","M","","M","","M","","M","","M","","M","","M","0.4","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-20","2012","03","20","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-21","2012","03","21","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-22","2012","03","22","","","M","","M","","M","","M","","M","","M","","M","0.2","","","","25","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-23","2012","03","23","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","33","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-24","2012","03","24","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","4","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-25","2012","03","25","","","M","","M","","M","","M","","M","","M","","M","5.0","","","","33","","56",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-26","2012","03","26","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","33","","57",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-27","2012","03","27","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-28","2012","03","28","","","M","","M","","M","","M","","M","","M","","M","5.3","","","","13","","39",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-29","2012","03","29","","","M","","M","","M","","M","","M","","M","","M","","M","","","32","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-30","2012","03","30","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","33","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-03-31","2012","03","31","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-01","2012","04","01","","","M","","M","","M","","M","","M","","M","","M","1.2","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-02","2012","04","02","","","M","","M","","M","","M","","M","","M","","M","0.3","","","","32","","52",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-03","2012","04","03","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","27","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-04","2012","04","04","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","29","","50",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-05","2012","04","05","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","29","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-06","2012","04","06","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","29","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-07","2012","04","07","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-08","2012","04","08","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","32","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-09","2012","04","09","","","M","","M","","M","","M","","M","","M","","M","1.6","","","","27","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-10","2012","04","10","","","M","","M","","M","","M","","M","","M","","M","1.3","","","","22","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-11","2012","04","11","","","M","","M","","M","","M","","M","","M","","M","0.5","","","","3","","48",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-12","2012","04","12","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-13","2012","04","13","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","26","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-14","2012","04","14","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","22","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-15","2012","04","15","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","28","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-16","2012","04","16","","","M","","M","","M","","M","","M","","M","","M","0.7","","","","28","","52",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-04-17","2012","04","17","","","M","","M","","M","","M","","M","","M","","M","0.0","","","","22","","56",""
